Country,antenatal_care_4plus_%,Neonatal deaths,gdp_per_capita_USD,female_upper_secondary_education_%,female_labour_force_participation_%,gdp_percentile,Exclusive breastfeeding (<6 months) (%),Early initiation of breastfeeding (%),Continued breastfeeding (12–23 months) (%)All children,Poorest 20%,Richest 20%,Infant mortality rate,Total,Under 5
Myanmar,59,34,1188,59,46,12.44,51,67,79,84,66,39,"54,500","4,399"
Namibia,63,38,4743,32,56,40.41,48,71,47,55,27,41,"3,030",406
Nauru,51,8,12060,33,,63.21,53,70,60,-,-,9,12,1
Nepal,81,23,1324,10,82,14.51,56,55,94,96,94,26,"29,651","2,763"
Netherlands (Kingdom of the),,3,62537,72,64,93.78,-,-,-,-,-,4,"18,229",892
New Zealand,,4,48528,75,65,88.08,-,-,-,-,-,5,"5,214",298
Nicaragua,88,11,2530,,50,27.98,32,54,53,64,28,13,"6,916",655
Niger,37,67,618,2,73,4.66,25,71,79,85,71,115,"27,032","4,783"
Nigeria,52,60,1621,60,77,17.62,29,36,58,74,37,105,"232,679","33,829"
Niue,,23,,,,,-,-,-,-,-,24,2,0
Macedonia,96,3,8146,64,44,54.92,28,10,30,37,33,3,"1,823",91
Norway,,2,87962,78,62,97.41,-,-,-,-,-,2,"5,577",275
Oman,74,8,23295,72,36,77.2,23,82,-,-,-,10,"5,282",427
Pakistan,52,50,1407,20,25,15.54,48,20,63,67,60,58,"251,269","31,988"
Palau,81,19,14565,90,,67.88,-,-,-,-,-,22,18,1
Panama,88,11,18662,53,50,71.5,22,55,41,57,18,13,"4,516",356
Papua New Guinea,49,32,2994,6,51,29.53,60,55,79,79,64,40,"10,577","1,233"
Paraguay,81,15,6260,47,59,47.15,30,50,33,41,43,17,"6,929",676
Peru,95,14,7790,52,65,52.85,70,48,72,69,73,16,"34,218","2,685"
Philippines,83,22,3726,36,50,34.2,41,54,57,69,41,27,"115,844","9,174"
Poland,,4,22113,87,52,73.58,-,-,-,-,-,4,"38,539","1,682"
Portugal,,3,27275,50,56,78.76,-,-,-,-,-,3,"10,425",426
Qatar,85,5,87480,75,57,96.89,45,61,53,-,-,6,"3,048",155
South Korea,97,2,33121,74,56,82.9,-,-,-,-,-,3,"51,718","1,283"
Moldova,95,13,6651,74,71,48.19,36,61,27,44,22,15,"3,035",170
Romania,70,5,18419,68,42,70.98,16,58,-,-,-,7,"19,015",930
Russia,,4,13817,92,56,66.32,-,25,-,-,-,4,"144,820","6,904"
Rwanda,47,30,1000,12,58,10.36,81,85,90,95,81,40,"14,257","1,894"
Saint Kitts and Nevis,,14,22553,,,74.61,-,-,-,-,-,16,47,3
Saint Lucia,90,14,13980,44,69,67.36,4,50,29,-,-,16,180,10
Saint Vincent and the Grenadines,100,10,10279,,57,59.59,-,-,-,-,-,11,101,6
Samoa,70,13,4139,43,31,37.31,52,53,50,58,36,16,218,28
San Marino,,1,54982,58,,92.23,-,-,-,-,-,1,34,1
Sao Tome and Principe,84,9,2602,32,42,28.5,63,36,46,51,39,14,236,31
Saudi Arabia,80,5,28895,59,22,79.27,-,-,-,-,-,6,"33,963","2,648"
Senegal,68,30,1746,5,38,20.21,34,38,73,76,72,39,"18,502","2,494"
Serbia,97,4,11361,71,52,61.14,24,8,16,28,18,5,"6,736",309
Seychelles,,13,17879,44,,69.95,-,-,-,-,-,14,130,9
Sierra Leone,79,56,433,7,58,2.07,51,88,54,67,51,94,"8,642","1,173"
Singapore,,2,84734,81,62,96.37,-,-,-,-,-,2,"5,832",232
Slovakia,,5,24470,87,56,77.72,-,-,-,-,-,6,"5,507",274
Slovenia,,2,32164,83,54,81.87,-,-,-,-,-,2,"2,119",94
Solomon Islands,69,17,2203,,82,23.83,76,79,71,-,-,21,819,105
Somalia,24,68,644,4,22,5.18,34,60,45,61,23,104,"19,009","3,500"
South Africa,76,24,6253,42,49,46.63,32,67,34,47,25,35,"64,007","5,907"
South Sudan,31,73,1072,11,71,11.92,45,51,62,67,58,99,"11,943","1,544"
Spain,,3,32677,56,53,82.38,-,-,-,-,-,3,"47,911","1,728"
Sri Lanka,93,5,3828,65,32,35.75,81,91,90,90,81,6,"23,104","1,621"
Palestine,95,14,3368,49,19,31.09,39,41,29,29,28,26,"5,495",716
Sudan,51,39,2272,1,14,24.87,55,69,73,72,74,50,"50,449","7,639"
Suriname,68,15,6069,26,39,46.11,9,52,23,27,21,16,634,53
Sweden,,2,56305,85,64,92.75,-,-,-,-,-,2,"10,607",548
Switzerland,,3,99995,81,63,97.93,-,-,-,-,-,4,"8,922",431
Syria,64,19,421,19,15,1.55,29,36,45,57,42,21,"24,673","2,455"
Tajikistan,62,23,1189,76,29,12.95,41,41,55,56,53,27,"10,591","1,331"
Thailand,88,8,7172,39,61,51.3,29,29,24,30,17,9,"71,668","3,031"
East Timor,83,36,1649,38,41,18.13,65,47,49,61,44,50,"1,401",152
Togo,55,36,1013,6,69,10.88,64,48,80,90,73,58,"9,515","1,357"
Tokelau,,-,,,,,-,-,-,-,-,-,3,0
Tonga,89,8,4682,70,51,39.9,40,39,35,47,16,10,104,12
Trinidad and Tobago,94,17,18333,54,50,70.47,31,48,42,51,43,19,"1,508",83
Tunisia,79,11,3895,30,27,36.27,18,34,38,49,37,13,"12,277",867
Turkey,90,9,12986,34,34,64.77,41,71,53,-,-,13,"87,474","5,530"
Turkmenistan,98,31,9191,25,44,58.03,57,93,45,49,38,40,"7,494",793
Turks and Caicos Islands,93,4,30438,75,,81.35,-,49,16,-,-,6,47,3
Tuvalu,60,17,5465,40,,43.01,44,39,29,-,-,20,10,1
Uganda,68,28,1014,32,75,11.4,66,82,63,77,53,39,"50,015","8,067"
Ukraine,87,8,5181,71,48,41.45,20,66,31,31,30,8,"37,860","1,261"
United Arab Emirates,,4,52977,72,52,90.16,-,23,-,-,-,5,"11,027",581
United Kingdom,,4,48867,81,58,88.6,-,-,-,-,-,4,"69,138","3,548"
Tanzania,65,30,1211,2,76,13.47,64,70,72,75,70,39,"68,560","11,020"
United States of America,97,5,81695,95,57,95.85,26,-,12,-,-,6,"345,427","18,549"
Uruguay,98,6,22565,38,57,75.13,51,66,58,-,-,7,"3,387",170
Uzbekistan,90,13,2496,96,40,26.42,25,40,65,64,62,13,"36,362","4,451"
Vanuatu,65,14,3367,18,38,30.57,76,59,55,56,44,17,328,44
Venezuela,84,21,,61,42,,7,-,-,-,-,24,"28,406","2,089"
Vietnam,88,14,4347,38,68,38.34,45,24,44,44,43,20,"100,988","7,058"
Yemen,32,35,533,8,6,3.63,10,53,63,73,56,39,"40,583","6,443"
Zambia,82,31,1369,30,54,15.03,64,68,63,74,51,45,"21,315","3,204"
Zimbabwe,72,41,1592,61,62,17.1,42,67,50,61,33,44,"16,634","2,333"
