Country,antenatal_care_4plus_%,Neonatal deaths,gdp_per_capita_USD,female_upper_secondary_education_%,female_labour_force_participation_%,gdp_percentile,Exclusive breastfeeding (<6 months) (%),Early initiation of breastfeeding (%),Continued breastfeeding (12–23 months) (%),,
,,,,,,,,,All children,Poorest 20%,Richest 20%
Syria,64,19,421,19,15,1.55,29,36,45,57,42
Tajikistan,62,23,1189,76,29,12.95,41,41,55,56,53
Thailand,88,8,7172,39,61,51.3,29,29,24,30,17
East Timor,83,36,1649,38,41,18.13,65,47,49,61,44
Togo,55,36,1013,6,69,10.88,64,48,80,90,73
Tokelau,,-,,,,,-,-,-,-,-
Tonga,89,8,4682,70,51,39.9,40,39,35,47,16
Trinidad and Tobago,94,17,18333,54,50,70.47,31,48,42,51,43
Tunisia,79,11,3895,30,27,36.27,18,34,38,49,37
Turkey,90,9,12986,34,34,64.77,41,71,53,-,-
Turkmenistan,98,31,9191,25,44,58.03,57,93,45,49,38
Turks and Caicos Islands,93,4,30438,75,,81.35,-,49,16,-,-
Tuvalu,60,17,5465,40,,43.01,44,39,29,-,-
Uganda,68,28,1014,32,75,11.4,66,82,63,77,53
Ukraine,87,8,5181,71,48,41.45,20,66,31,31,30
United Arab Emirates,,4,52977,72,52,90.16,-,23,-,-,-
United Kingdom,,4,48867,81,58,88.6,-,-,-,-,-
Tanzania,65,30,1211,2,76,13.47,64,70,72,75,70
United States of America,97,5,81695,95,57,95.85,26,-,12,-,-
Uruguay,98,6,22565,38,57,75.13,51,66,58,-,-
Uzbekistan,90,13,2496,96,40,26.42,25,40,65,64,62
Vanuatu,65,14,3367,18,38,30.57,76,59,55,56,44
Venezuela,84,21,,61,42,,7,-,-,-,-
Vietnam,88,14,4347,38,68,38.34,45,24,44,44,43
Yemen,32,35,533,8,6,3.63,10,53,63,73,56
Zambia,82,31,1369,30,54,15.03,64,68,63,74,51
Zimbabwe,72,41,1592,61,62,17.1,42,67,50,61,33
