TABLE 9. NUTRITION: BREASTFEEDING AND DIETS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,"Infant and Young Child Feeding (0−23 months)
2018–2024 (R)",,,,,,,,,,,,,,,,,,,,,,,
,Early initiation of breastfeeding (%),,Exclusive breastfeeding (<6 months) (%),,"Introduction to solid, semi-sold or soft foods (6−8 months)",,Continued breastfeeding (12–23 months) (%),,,,,,Percentage of children consuming (6–23 months) (%),,,,,,Minimum meal frequency (6–23 months) (%),,Minimum acceptable diet (6–23 months) (%),,Zero vegetable or fruit consumption (6–23 months) (%),
,,,,,,,All children,,Poorest 20%,,Richest 20%,,<=2 food groups (severe food poverty),,3−4 food groups (moderate food poverty),,At least 5 food groups (minimum dietary diversity),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,54,,41,,80,,57,,69,,41,,18,,35,,47,,74,,37,,27,
Poland,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Portugal,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Qatar,61,,45,,79,,53,,-,,-,,11,,25,,64,,40,x,-,,14,
Republic of Korea,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Republic of Moldova,61,x,36,x,75,x,27,x,44,x,22,x,6,x,24,x,70,x,46,x,-,,10,x
Romania,58,x,16,x,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Russian Federation,25,x,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Rwanda,85,,81,,81,,90,,95,,81,,12,,53,,34,,45,,21,,16,
Saint Kitts and Nevis,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Saint Lucia,50,x,4,x,-,,29,x,-,,-,,-,,-,,-,,43,x,-,,-,
Saint Vincent and the Grenadines,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Samoa,53,,52,,83,,50,,58,,36,,23,,57,,20,,46,,12,,25,
San Marino,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Sao Tome and Principe,36,,63,,80,,46,,51,,39,,22,,45,,32,,58,x,22,x,32,
Saudi Arabia,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Senegal,38,,34,,60,,73,,76,,72,,32,,42,,27,,23,,6,,47,
Serbia,8,,24,,96,,16,,28,,18,,2,,13,,86,,95,,74,,2,
Seychelles,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Sierra Leone,88,,51,,99,,54,,67,,51,,47,,29,,24,,32,,9,,54,
Singapore,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Slovakia,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Slovenia,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Solomon Islands,79,x,76,x,-,,71,x,-,,-,,-,,-,,-,,-,,-,,-,
Somalia,60,,34,,41,,45,,61,x,23,x,63,,24,,13,,-,,-,,65,
South Africa,67,x,32,x,83,x,34,x,47,x,25,x,23,x,37,x,40,x,43,x,19,x,37,x
South Sudan,51,x,45,x,42,x,62,x,67,x,58,x,-,,-,,-,,10,x,-,,-,
Spain,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Sri Lanka,91,,81,x,94,x,90,x,90,x,81,x,5,x,17,x,78,x,-,,-,,11,x
State of Palestine,41,,39,,90,,29,,29,,28,,13,,42,,45,,71,,31,,28,
Sudan,69,x,55,x,61,x,73,x,72,x,74,x,34,x,42,x,24,x,41,x,14,x,67,x
Suriname,52,,9,,81,,23,,27,,21,,23,,48,,28,,52,,16,,30,
Sweden,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Switzerland,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Syrian Arab Republic,36,,29,,75,,45,x,57,x,42,x,30,ER,38,ER,31,ER,-,,-,,-,
Tajikistan,41,,41,,56,,55,,56,,53,,32,,40,,28,,30,,9,,56,
Thailand,29,,29,,88,,24,,30,,17,,10,,18,,72,,79,,60,,16,
Timor-Leste,47,,65,,73,,49,,61,x,44,x,30,,30,,40,,56,,26,,34,
Togo,48,x,64,x,76,x,80,x,90,x,73,x,31,x,51,x,19,x,61,x,14,x,48,x
Tokelau,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Tonga,39,,40,,91,,35,,47,,16,,13,,34,,54,,49,,27,,10,
Trinidad and Tobago,48,,31,,76,,42,,51,,43,,15,,40,,46,,73,,37,,31,
Tunisia,34,,18,,91,,38,,49,,37,,10,,27,,64,,73,,49,,19,
Türkiye,71,,41,,85,,53,,-,,-,,-,,-,,-,,-,,-,,-,
Turkmenistan,93,,57,,79,,45,,49,,38,,4,,27,,69,,97,,64,,12,
Turks and Caicos Islands,49,,-,,-,,16,,-,,-,,22,,22,,56,,68,,29,,35,
Tuvalu,39,,44,,97,,29,,-,,-,,14,,57,,29,,-,,18,,44,
Uganda,82,,66,x,72,,63,,77,x,53,x,24,,62,,10,,63,,7,,54,
Ukraine,66,x,20,x,75,x,31,x,31,x,30,x,-,,-,,-,,55,x,-,,-,
United Arab Emirates,23,x,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
United Kingdom,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
United Republic of Tanzania,70,,64,,89,,72,x,75,x,70,x,22,,59,,19,,33,,8,,40,
United States,-,,26,ER,-,,12,ER,-,,-,,-,,-,,-,,-,,-,,-,
Uruguay,66,,51,,98,,58,,-,,-,,4,,17,,79,,-,,-,,6,
Uzbekistan,40,,25,,86,,65,,64,,62,,11,,33,,56,,69,,39,,15,
Vanuatu,59,,76,,69,,55,,56,,44,,26,,49,,25,,23,,9,,16,
Venezuela (Bolivarian Republic of),-,,7,x,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Viet Nam,24,,45,,86,,44,,44,,43,,9,,36,,56,,77,,46,,17,
Yemen,53,x,10,x,69,x,63,x,73,x,56,x,27,,50,,23,,57,x,15,x,66,x
Zambia,68,,64,,94,,63,,74,,51,,24,,53,,22,,41,,12,,30,
Zimbabwe,67,,42,,90,,50,,61,,33,,25,,58,,25,,68,,11,,28,
,,,,,,,,,,,,,,,,,,,,,,,,
